Duration,Response,Each condition
1.375,1.0381374040007358,0
0.75,1.0352904520004813,1
0.9,0.7073396860014327,2
0.975,1.1165257240008941,3
0.75,0.7316373680005199,4
1.25,0.8712027639994631,5
0.9,0.9122083300007944,6
0.9,0.9472238620001008,7
0.825,0.7959109299990814,8
1.45,1.0360934179989272,9
1.45,1.3520560159995512,10
1.125,0.2791942320000089,11
0.825,0.827977369999644,12
0.75,0.7400240810002288,13
1.125,0.9512219970001752,14
1.45,0.9982753659987793,15
1.05,0.7558085020009457,16
1.25,0.9991680809998797,17
1.125,0.9952731620014674,18
1.525,1.638090470998577,19
0.75,1.0597171669996897,20
1.375,1.0952486879996286,21
0.975,0.9313254130011046,22
0.9,1.0524170039989258,23
1.45,0.9758449519995338,24
1.25,1.0513106870002957,25
1.525,1.1719508010010031,26
1.25,0.9123433549993933,27
1.05,0.759150846999546,28
1.45,1.1718185839999933,29
0.825,0.9153694830001768,30
0.825,0.8151485309990676,31
0.975,0.9081384179989982,32
0.75,0.89126110899997,33
1.45,1.1633838590005325,34
1.05,1.0311792030006472,35
0.975,0.9751325750003161,36
0.825,0.963163465999969,37
0.975,0.8191465989984863,38
1.05,0.9072213979998196,39
1.125,0.9160616420012957,40
1.25,0.9272325099991576,41
1.375,1.171254422999482,42
1.375,0.8032390949992987,43
1.125,0.9676877559995773,44
1.375,1.2953326360002393,45
0.825,0.8402292700011458,46
1.525,1.328252295999846,47
0.9,0.7832258430007641,48
1.525,1.2914128020001954,49
0.975,0.9353303869993397,50
1.375,1.4079466220009635,51
1.25,0.9152811260009912,52
1.05,1.011302823000733,53
1.525,1.3919714750009007,54
0.9,1.0753488690006634,55
1.525,1.366350758000408,56
0.75,0.9672265789995436,57
1.125,0.8080434290004632,58
1.05,1.0118623140006093,59
