X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,957,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,450,null,null,987,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,750,null,null,952,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,0
Chrome,675,null,null,978,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,0
Chrome,1050,null,null,1024,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,1
Chrome,600,null,null,950,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,525,null,null,967,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,0
Chrome,975,null,null,992,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,1
Chrome,900,null,null,987,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,1
Chrome,825,null,null,952,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,900,null,null,996,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,1
Chrome,600,null,null,981,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,0
Chrome,525,null,null,1034,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,0
Chrome,1050,null,null,1030,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,1
Chrome,975,null,null,989,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,750,null,null,967,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,0
Chrome,675,null,null,958,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,450,null,null,1009,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,0
Chrome,975,null,null,1000,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,1
Chrome,600,null,null,952,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,0
Chrome,825,null,null,1019,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,1
Chrome,525,null,null,988,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,0
Chrome,900,null,null,992,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,red,1
Chrome,1050,null,null,998,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,1
Chrome,450,null,null,1009,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,0
Chrome,675,null,null,991,83,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,odd,0
Chrome,750,2019-07-10T17:52:28.472Z,,1034,76,2019-07-10T17:43:06.599Z,A2M3FPQF852HW4,spikey,1
