Correct,oddBallDur,standardStimDur,keyPress,Stimulus Onset,Initial Direction
0,0.48,0.48,l,1,0
1,0.533,0.48,l,1,180
0,0.587,0.48,s,1,0
1,0.587,0.48,l,1,180
1,0.427,0.48,s,1,180
0,0.48,0.48,l,1,0
0,0.693,0.48,s,1,180
0,0.64,0.48,s,1,0
0,0.427,0.48,l,1,0
1,0.427,0.48,s,1,180
1,0.64,0.48,l,1,0
1,0.587,0.48,l,1,180
1,0.533,0.48,l,1,180
1,0.533,0.48,l,1,180
1,0.427,0.48,s,1,0
1,0.587,0.48,l,1,0
1,0.48,0.48,s,1,180
1,0.587,0.48,l,1,0
1,0.533,0.48,l,1,180
0,0.587,0.48,s,1,180
1,0.427,0.48,s,1,0
0,0.48,0.48,l,1,180
1,0.48,0.48,s,1,180
0,0.427,0.48,l,1,180
0,0.64,0.48,s,1,180
0,0.48,0.48,l,1,0
0,0.48,0.48,l,1,180
0,0.533,0.48,s,1,180
0,0.64,0.48,s,1,0
0,0.64,0.48,s,1,180
1,0.533,0.48,l,0,180
0,0.693,0.48,s,0,0
1,0.693,0.48,l,0,0
1,0.427,0.48,s,0,180
1,0.587,0.48,l,0,180
0,0.533,0.48,s,0,0
1,0.693,0.48,l,0,180
1,0.427,0.48,s,0,0
1,0.693,0.48,l,0,180
0,0.533,0.48,s,0,0
1,0.693,0.48,l,0,0
0,0.693,0.48,s,0,0
1,0.693,0.48,l,0,180
1,0.48,0.48,s,0,0
0,0.533,0.48,s,0,0
1,0.533,0.48,l,0,0
0,0.64,0.48,s,0,180
1,0.427,0.48,s,0,0
1,0.64,0.48,l,0,0
0,0.587,0.48,s,0,0
1,0.64,0.48,l,0,0
0,0.64,0.48,s,0,0
1,0.587,0.48,l,0,0
1,0.427,0.48,s,0,180
1,0.587,0.48,l,0,180
0,0.693,0.48,s,0,0
1,0.693,0.48,l,0,180
1,0.48,0.48,s,0,0
0,0.48,0.48,l,0,0
0,0.64,0.48,s,0,180
